اسم المشروع,القطاع,رأس المال,تكلفة المبيعات,الإيرادات,التكلفة التشغيلية الشهرية,سعر المنتج او الخدمة,الطاقة الإنتاجية الشهرية,هامش الربح,نوع العميل,السوق المستهدف,قنوات التوزيع,حجم الطلب,عدد المنافسين,طرق التسويق,عدد العمال,نوع المعدات,الموقع,فترة الاسترداد,النتيجة_رقم,رأس المال_Scaled,الإيرادات_Scaled,تكلفة المبيعات_Scaled,نوع المشروع الدقيق_Encoded,Log_رأس_المال,Log_رأس_المال_Scaled,عدد العمال_Scaled,حجم الطلب_Scaled,عدد المنافسين_Scaled,Target_الجدوى,Target_فترة_الاسترداد
مصنع صغير لإنتاج البلاط والرخام الصناعي,إنتاجي,22999650,0.74,38548444,2377154,سعر السوق المنافس,2452 وحدة/كيلو,0.26,مختلط,"شركات المقاولات، الأفراد","البيع المباشر, تجار التجزئة",3,3,"التسويق الشفهي, لوحات إعلانية",9,"آلات تصنيع، أدوات تغليف",تعز,27.5,1,0.8694,0.6252,0.6667,245,16.951,0.9529,1,1,1,1,27.5
محل بيع الأدوات الزراعية والبذور,تجاري,4309960,0.67,10123795,565245,متنوع حسب الصنف,حسب الطلب اليومي,0.33,أفراد (B2C),"المزارعين، هواة الزراعة المنزلية","تجار التجزئة, البيع المباشر",3,3,"عروض ترويجية, لوحات إعلانية",1,"أرفف، نظام محاسبي، ثلاجات",عدن,15.5,1,0.1088,0.1356,0.5439,52,15.2764,0.349,0,1,1,1,15.5
خدمات استئجار وتركيب السقالات والمعدات الثقيلة,خدمي,4629890,0.68,10857782,615274,حسب نوع الخدمة,حسب الطلب اليومي,0.32,أفراد (B2C),"شركات المقاولات، العمال","تطبيقات التوصيل, تجار التجزئة",2,2,"لوحات إعلانية, عروض ترويجية",2,"أدوات مكتبية، أجهزة كمبيوتر",صنعاء,16,1,0.1218,0.1482,0.5614,189,15.348,0.3748,0.125,0,0.5,1,16
مزرعة لإنتاج زيت الزيتون,زراعي,12525955,0.74,26147574,1612434,سعر السوق المنافس,2924 وحدة/كيلو,0.26,تجار جملة ومصانع (B2B),"الأسر، المطاعم، محلات الأغذية الصحية","تطبيقات التوصيل, وسائل التواصل الاجتماعي",3,1,"عروض ترويجية, فيسبوك وواتساب",4,معدات متخصصة,إب,22.1,1,0.4431,0.4116,0.6667,198,16.3433,0.7337,0.375,1,0,1,22.1
ورشة تصنيع العبوات الكرتونية,إنتاجي,13351460,0.75,26025924,1626620,سعر السوق المنافس,3458 وحدة/كيلو,0.25,مختلط,"المصانع، المتاجر، المطاعم","تطبيقات التوصيل, البيع المباشر",,3,"فيسبوك وواتساب, لوحات إعلانية",5,"آلات تصنيع، أدوات تغليف",حضرموت,24.6,1,0.4767,0.4095,0.6842,246,16.4071,0.7568,0.5,,1,1,24.6
محل بيع مستلزمات الخياطة والتطريز,تجاري,7196285,0.76,12256476,776243,متنوع حسب الصنف,حسب الطلب اليومي,0.24,أفراد (B2C),"الخياطين، ربات البيوت، ورش التطريز","تطبيقات التوصيل, وسائل التواصل الاجتماعي",3,3,"فيسبوك وواتساب, التسويق الشفهي",2,"أرفف، نظام محاسبي، ثلاجات",إب,29.4,1,0.2262,0.1723,0.7018,50,15.7891,0.5339,0.125,1,1,1,29.4
خدمات إصلاح وصيانة مولدات الكهرباء,خدمي,6591735,0.7,15111386,881498,حسب نوع الخدمة,حسب الطلب اليومي,0.3,أفراد (B2C),"المنازل، الشركات، المتاجر","تجار التجزئة, تطبيقات التوصيل",3,1,"التسويق الشفهي, فيسبوك وواتساب",2,"أدوات مكتبية، أجهزة كمبيوتر",عدن,17.4,1,0.2016,0.2215,0.5965,249,15.7013,0.5022,0.125,1,0,1,17.4
مشروع زراعة وإنتاج الفول السوداني,زراعي,6195300,0.75,14672967,917060,سعر السوق المنافس,821 وحدة/كيلو,0.25,تجار جملة ومصانع (B2B),"الأسواق، مصانع الزيوت","تطبيقات التوصيل, البيع المباشر",3,2,"فيسبوك وواتساب, لوحات إعلانية",4,معدات متخصصة,عدن,20.3,1,0.1855,0.2139,0.6842,208,15.6393,0.4798,0.375,1,0.5,1,20.3
مصنع صغير لإنتاج المربيات والعصائر الطبيعية,إنتاجي,16124365,0.7,22182869,1294001,سعر السوق المنافس,2085 وحدة/كيلو,0.3,مختلط,"محلات البقالة، الفنادق","البيع المباشر, تطبيقات التوصيل",2,2,"التسويق الشفهي, عروض ترويجية",4,"آلات تصنيع، أدوات تغليف",حضرموت,29.1,1,0.5896,0.3433,0.5965,229,16.5958,0.8248,0.375,0,0.5,1,29.1
محل بيع وتوزيع المياه بالجملة,تجاري,3211070,0.73,6596146,401266,متنوع حسب الصنف,حسب الطلب اليومي,0.27,أفراد (B2C),"المتاجر الصغيرة، المساجد، الشركات","تطبيقات التوصيل, تجار التجزئة",2,3,"فيسبوك وواتساب, عروض ترويجية",2,"أرفف، نظام محاسبي، ثلاجات",إب,21.6,1,0.064,0.0748,0.6491,45,14.9821,0.2428,0.125,0,1,1,21.6
خدمات تجميع وإعادة تدوير البلاستيك,خدمي,3198230,0.69,4979252,286307,حسب نوع الخدمة,حسب الطلب اليومي,0.31,أفراد (B2C),"المصانع، الورش، الأفراد","تطبيقات التوصيل, وسائل التواصل الاجتماعي",2,3,"عروض ترويجية, التسويق الشفهي",3,"أدوات مكتبية، أجهزة كمبيوتر",عدن,24.9,1,0.0635,0.047,0.5789,186,14.9781,0.2414,0.25,0,1,1,24.9
مزرعة لتربية الأرانب,زراعي,11499825,0.76,21573595,1366328,سعر السوق المنافس,2394 وحدة/كيلو,0.24,تجار جملة ومصانع (B2B),"المطاعم، الأسر","تجار التجزئة, وسائل التواصل الاجتماعي",2,2,"لوحات إعلانية, التسويق الشفهي",5,معدات متخصصة,عدن,26.7,1,0.4014,0.3328,0.7018,110,16.2578,0.7029,0.5,0,0.5,1,26.7
ورشة تصنيع قطع الغيار المعدنية البسيطة,إنتاجي,12758145,0.74,28049968,1729748,سعر السوق المنافس,1028 وحدة/كيلو,0.26,مختلط,"الورش الصناعية، المصانع","وسائل التواصل الاجتماعي, تجار التجزئة",,1,"لوحات إعلانية, فيسبوك وواتساب",4,"آلات تصنيع، أدوات تغليف",تعز,21,1,0.4526,0.4443,0.6667,239,16.3617,0.7404,0.375,,0,1,21
محل بيع مستلزمات الديكور والدهانات,تجاري,8762230,0.73,19210450,1168636,متنوع حسب الصنف,حسب الطلب اليومي,0.27,أفراد (B2C),"الأفراد، المهندسون، المقاولون","تجار التجزئة, تطبيقات التوصيل",,2,"لوحات إعلانية, التسويق الشفهي",1,"أرفف، نظام محاسبي، ثلاجات",عدن,20.3,1,0.29,0.2921,0.6491,58,15.986,0.6049,0,,0.5,1,20.3
خدمات حجز تذاكر الطيران والسفر,خدمي,5828825,0.68,10243832,580484,حسب نوع الخدمة,حسب الطلب اليومي,0.32,أفراد (B2C),"الأفراد، الشركات، المغتربون","البيع المباشر, تجار التجزئة",,2,"التسويق الشفهي, لوحات إعلانية",2,"أدوات مكتبية، أجهزة كمبيوتر",تعز,21.3,1,0.1706,0.1376,0.5614,260,15.5783,0.4579,0.125,,0.5,1,21.3
مشروع زراعة وإنتاج البطيخ والشمام,زراعي,11913915,0.7,17713728,1033301,سعر السوق المنافس,1537 وحدة/كيلو,0.3,تجار جملة ومصانع (B2B),"الأسواق المحلية، محلات العصائر","تطبيقات التوصيل, البيع المباشر",3,3,"التسويق الشفهي, فيسبوك وواتساب",5,معدات متخصصة,صنعاء,26.9,1,0.4182,0.2663,0.5965,204,16.2932,0.7157,0.5,1,1,1,26.9
مصنع صغير لإنتاج الخبز والمعجنات (مخبز آلي),إنتاجي,20410785,0.7,24520037,1430335,سعر السوق المنافس,3814 وحدة/كيلو,0.3,مختلط,"المتاجر، المطاعم، الأسر","تجار التجزئة, وسائل التواصل الاجتماعي",3,2,"التسويق الشفهي, لوحات إعلانية",7,"آلات تصنيع، أدوات تغليف",صنعاء,33.3,1,0.764,0.3835,0.5965,233,16.8316,0.9098,0.75,1,0.5,1,33.3
محل بيع أدوات السلامة والأمن الصناعي,تجاري,7682600,0.7,10370540,604948,متنوع حسب الصنف,حسب الطلب اليومي,0.3,أفراد (B2C),"المصانع، الورش، شركات المقاولات","وسائل التواصل الاجتماعي, تجار التجزئة",3,3,"فيسبوك وواتساب, التسويق الشفهي",2,"أرفف، نظام محاسبي، ثلاجات",حضرموت,29.6,1,0.246,0.1398,0.5965,53,15.8545,0.5574,0.125,1,1,1,29.6
خدمات صيانة أجهزة التكييف والتبريد,خدمي,5589145,0.64,9105272,485615,حسب نوع الخدمة,حسب الطلب اليومي,0.36,أفراد (B2C),"المنازل، المكاتب، المطاعم","وسائل التواصل الاجتماعي, تطبيقات التوصيل",,2,"فيسبوك وواتساب, لوحات إعلانية",3,"أدوات مكتبية، أجهزة كمبيوتر",حضرموت,20.5,1,0.1608,0.118,0.4912,247,15.5363,0.4427,0.25,,0.5,1,20.5
مزرعة لتربية النعام,زراعي,6362755,0.73,7862987,478332,سعر السوق المنافس,534 وحدة/كيلو,0.27,تجار جملة ومصانع (B2B),"المطاعم الفاخرة، الأسواق","البيع المباشر, تطبيقات التوصيل",,3,"فيسبوك وواتساب, لوحات إعلانية",5,معدات متخصصة,عدن,36,1,0.1923,0.0966,0.6491,116,15.666,0.4895,0.5,,1,1,36
ورشة تصنيع الأختام واللوحات التعريفية,إنتاجي,17476845,0.78,39344288,2557379,سعر السوق المنافس,611 وحدة/كيلو,0.22,مختلط,"الشركات، المكاتب الحكومية، الأفراد","البيع المباشر, تطبيقات التوصيل",2,3,"عروض ترويجية, فيسبوك وواتساب",8,"آلات تصنيع، أدوات تغليف",تعز,24.2,1,0.6446,0.6389,0.7368,234,16.6764,0.8539,0.875,0,1,1,24.2
محل بيع العود والبخور والعطور الشرقية,تجاري,8594775,0.74,21479873,1324592,متنوع حسب الصنف,حسب الطلب اليومي,0.26,أفراد (B2C),"الأفراد، المناسبات","تجار التجزئة, تطبيقات التوصيل",2,2,"فيسبوك وواتساب, التسويق الشفهي",2,"أرفف، نظام محاسبي، ثلاجات",عدن,18.5,1,0.2831,0.3312,0.6667,36,15.9667,0.5979,0.125,0,0.5,1,18.5
خدمات تنظيم المعارض والمؤتمرات,خدمي,2174775,0.64,4621202,246464,حسب نوع الخدمة,حسب الطلب اليومي,0.36,أفراد (B2C),"الشركات الكبرى، المؤسسات الحكومية","وسائل التواصل الاجتماعي, تطبيقات التوصيل",3,1,"فيسبوك وواتساب, لوحات إعلانية",1,"أدوات مكتبية، أجهزة كمبيوتر",إب,15.7,1,0.0219,0.0408,0.4912,176,14.5924,0.1023,0,1,0,1,15.7
مشروع زراعة وإنتاج الفراولة,زراعي,10160720,0.79,24074712,1584919,سعر السوق المنافس,514 وحدة/كيلو,0.21,تجار جملة ومصانع (B2B),"الفنادق، محلات العصائر، الأسر","تطبيقات التوصيل, تجار التجزئة",2,1,"لوحات إعلانية, التسويق الشفهي",2,معدات متخصصة,تعز,24.1,1,0.3469,0.3759,0.7544,203,16.134,0.6583,0.125,0,0,1,24.1
مصنع صغير لإنتاج الشموع المعطرة,إنتاجي,11874325,0.74,21505995,1326203,سعر السوق المنافس,4866 وحدة/كيلو,0.26,مختلط,"محلات الهدايا، الفنادق، الأفراد","وسائل التواصل الاجتماعي, البيع المباشر",3,2,"لوحات إعلانية, عروض ترويجية",6,"آلات تصنيع، أدوات تغليف",تعز,25.5,1,0.4166,0.3316,0.6667,241,16.2899,0.7145,0.625,1,0.5,1,25.5
محل بيع وتأجير معدات البناء الخفيفة,تجاري,7001010,0.73,10704318,651179,متنوع حسب الصنف,حسب الطلب اليومي,0.27,أفراد (B2C),"العمال، المقاولون الصغار","البيع المباشر, تطبيقات التوصيل",2,2,"فيسبوك وواتساب, لوحات إعلانية",1,"أرفف، نظام محاسبي، ثلاجات",حضرموت,29.1,1,0.2183,0.1456,0.6491,62,15.7616,0.5239,0,0,0.5,1,29.1
خدمات استشارات الموارد البشرية والتوظيف,خدمي,4980315,0.63,7850893,412172,حسب نوع الخدمة,حسب الطلب اليومي,0.37,أفراد (B2C),"الشركات، المؤسسات","البيع المباشر, وسائل التواصل الاجتماعي",3,3,"لوحات إعلانية, فيسبوك وواتساب",1,"أدوات مكتبية، أجهزة كمبيوتر",إب,20.6,1,0.136,0.0964,0.4737,138,15.421,0.4011,0,1,1,1,20.6
مزرعة لتربية الدواجن (اللاحم),زراعي,15047410,0.79,23049216,1517407,سعر السوق المنافس,4667 وحدة/كيلو,0.21,تجار جملة ومصانع (B2B),"المطاعم، الأسواق، الأسر","وسائل التواصل الاجتماعي, تجار التجزئة",2,1,"التسويق الشفهي, لوحات إعلانية",5,معدات متخصصة,إب,37.3,1,0.5458,0.3582,0.7544,112,16.5267,0.7999,0.5,0,0,1,37.3
ورشة تصنيع الأبواب والشبابيك الألمنيوم,إنتاجي,22230320,0.77,44043139,2826101,سعر السوق المنافس,1575 وحدة/كيلو,0.23,مختلط,"شركات المقاولات، الأفراد","وسائل التواصل الاجتماعي, تجار التجزئة",3,3,"فيسبوك وواتساب, عروض ترويجية",8,"آلات تصنيع، أدوات تغليف",تعز,26.3,1,0.8381,0.7198,0.7193,244,16.917,0.9406,0.875,1,1,1,26.3
محل بيع أدوات ومعدات اللحام والحدادة,تجاري,7912115,0.73,14710413,894883,متنوع حسب الصنف,حسب الطلب اليومي,0.27,أفراد (B2C),"الورش، المصانع، الحدادون","البيع المباشر, وسائل التواصل الاجتماعي",3,3,"عروض ترويجية, التسويق الشفهي",2,"أرفف، نظام محاسبي، ثلاجات",صنعاء,23.9,1,0.2554,0.2146,0.6491,43,15.8839,0.5681,0.125,1,1,1,23.9
خدمات صيانة وإصلاح أجهزة الكمبيوتر,خدمي,5604660,0.68,11555308,654801,حسب نوع الخدمة,حسب الطلب اليومي,0.32,أفراد (B2C),"الأفراد، الشركات، المكاتب","البيع المباشر, وسائل التواصل الاجتماعي",2,3,"التسويق الشفهي, لوحات إعلانية",3,"أدوات مكتبية، أجهزة كمبيوتر",حضرموت,18.2,1,0.1615,0.1602,0.5614,248,15.5391,0.4437,0.25,0,1,1,18.2
مشروع زراعة وإنتاج القات (للتصدير),زراعي,6314605,0.79,7720242,508249,سعر السوق المنافس,2821 وحدة/كيلو,0.21,تجار جملة ومصانع (B2B),أسواق التصدير (حيث يسمح),"وسائل التواصل الاجتماعي, تجار التجزئة",,3,"عروض ترويجية, لوحات إعلانية",5,معدات متخصصة,صنعاء,46.7,1,0.1903,0.0942,0.7544,210,15.6584,0.4867,0.5,,1,1,46.7
مصنع صغير لإنتاج البسكويت والحلويات الجافة,إنتاجي,21864915,0.76,27857429,1764304,سعر السوق المنافس,4559 وحدة/كيلو,0.24,مختلط,"محلات البقالة، المدارس","البيع المباشر, تطبيقات التوصيل",3,3,"فيسبوك وواتساب, عروض ترويجية",5,"آلات تصنيع، أدوات تغليف",عدن,39.2,1,0.8232,0.441,0.7018,226,16.9004,0.9347,0.5,1,1,1,39.2
محل بيع وتوزيع الخضروات والفواكه بالجملة,تجاري,7652640,0.75,14303401,893963,متنوع حسب الصنف,حسب الطلب اليومي,0.25,أفراد (B2C),"المتاجر، المطاعم، الفنادق","تطبيقات التوصيل, وسائل التواصل الاجتماعي",,3,"لوحات إعلانية, التسويق الشفهي",3,"أرفف، نظام محاسبي، ثلاجات",عدن,25.7,1,0.2448,0.2076,0.6842,31,15.8506,0.556,0.25,,1,1,25.7
خدمات تركيب وصيانة المصاعد الكهربائية,خدمي,3312720,0.66,6094265,335185,حسب نوع الخدمة,حسب الطلب اليومي,0.34,أفراد (B2C),"المباني السكنية والتجارية، الفنادق","تجار التجزئة, البيع المباشر",3,2,"فيسبوك وواتساب, التسويق الشفهي",2,"أدوات مكتبية، أجهزة كمبيوتر",صنعاء,19.2,1,0.0682,0.0662,0.5263,191,15.0133,0.2541,0.125,1,0.5,1,19.2
مزرعة لإنتاج الألبان ومشتقاتها,زراعي,10250065,0.75,13920322,870020,سعر السوق المنافس,4628 وحدة/كيلو,0.25,تجار جملة ومصانع (B2B),"المتاجر، المطاعم، الأسر","تطبيقات التوصيل, البيع المباشر",2,1,"لوحات إعلانية, فيسبوك وواتساب",4,معدات متخصصة,إب,35.3,1,0.3505,0.201,0.6842,103,16.1428,0.6614,0.375,0,0,1,35.3
"ورشة تصنيع الأثاث المعدني (مكاتب، كراسي)",إنتاجي,9724160,0.78,21595377,1403700,سعر السوق المنافس,1811 وحدة/كيلو,0.22,مختلط,"المكاتب، المدارس، المستشفيات","تجار التجزئة, تطبيقات التوصيل",3,3,"التسويق الشفهي, لوحات إعلانية",6,"آلات تصنيع، أدوات تغليف",حضرموت,24.6,1,0.3291,0.3332,0.7368,221,16.0901,0.6424,0.625,1,1,1,24.6
محل بيع وتأجير معدات التصوير الفوتوغرافي والفيديو,تجاري,8258795,0.74,18470853,1139036,متنوع حسب الصنف,حسب الطلب اليومي,0.26,أفراد (B2C),"المصورون، الشركات الإعلامية، الأفراد","البيع المباشر, تجار التجزئة",,3,"عروض ترويجية, التسويق الشفهي",1,"أرفف، نظام محاسبي، ثلاجات",حضرموت,20.6,1,0.2695,0.2793,0.6667,63,15.9268,0.5835,0,,1,1,20.6
خدمات استشارات الأمن السيبراني,خدمي,3398320,0.65,8074365,437361,حسب نوع الخدمة,حسب الطلب اليومي,0.35,أفراد (B2C),"البنوك، الشركات الكبرى، المؤسسات الحكومية","البيع المباشر, وسائل التواصل الاجتماعي",,2,"التسويق الشفهي, عروض ترويجية",2,"أدوات مكتبية، أجهزة كمبيوتر",تعز,14.4,1,0.0717,0.1003,0.5088,187,15.0388,0.2633,0.125,,0.5,1,14.4
مشروع زراعة وإنتاج البطيخ الأحمر,زراعي,9751445,0.77,18369945,1178738,سعر السوق المنافس,2595 وحدة/كيلو,0.23,تجار جملة ومصانع (B2B),"الأسواق المحلية، محلات العصائر","البيع المباشر, تطبيقات التوصيل",,3,"لوحات إعلانية, عروض ترويجية",3,معدات متخصصة,عدن,27.7,1,0.3302,0.2776,0.7193,204,16.0929,0.6434,0.25,,1,1,27.7
مصنع صغير لإنتاج المكرونة,إنتاجي,25849595,0.75,35227437,2201715,سعر السوق المنافس,2340 وحدة/كيلو,0.25,مختلط,"محلات البقالة، المطاعم","تطبيقات التوصيل, البيع المباشر",,1,"عروض ترويجية, التسويق الشفهي",6,"آلات تصنيع، أدوات تغليف",صنعاء,35.2,1,0.9854,0.568,0.6842,232,17.0678,0.995,0.625,,0,1,35.2
محل بيع وتوزيع الأدوية بالجملة,تجاري,2895955,0.71,4188323,247809,متنوع حسب الصنف,حسب الطلب اليومي,0.29,أفراد (B2C),"الصيدليات، المستشفيات","تجار التجزئة, وسائل التواصل الاجتماعي",2,3,"التسويق الشفهي, لوحات إعلانية",3,"أرفف، نظام محاسبي، ثلاجات",صنعاء,28.6,1,0.0512,0.0333,0.614,29,14.8788,0.2056,0.25,0,1,1,28.6
خدمات التدريب على اللغات الأجنبية,خدمي,1692740,0.64,3914064,208750,حسب نوع الخدمة,حسب الطلب اليومي,0.36,أفراد (B2C),"الطلاب، الباحثون عن عمل، المغتربون","البيع المباشر, وسائل التواصل الاجتماعي",3,1,"التسويق الشفهي, فيسبوك وواتساب",1,"أدوات مكتبية، أجهزة كمبيوتر",حضرموت,14.4,1,0.0022,0.0286,0.4912,259,14.3419,0.0119,0,1,0,1,14.4
مزرعة لتربية الإبل,زراعي,10730495,0.73,15956940,970714,سعر السوق المنافس,662 وحدة/كيلو,0.27,تجار جملة ومصانع (B2B),"الأسواق، المطاعم، الأسر","البيع المباشر, تطبيقات التوصيل",,3,"عروض ترويجية, التسويق الشفهي",2,معدات متخصصة,عدن,29.9,1,0.3701,0.236,0.6491,106,16.1886,0.6779,0.125,,1,1,29.9
ورشة تصنيع الأحذية الجلدية,إنتاجي,14219765,0.78,35274153,2292820,سعر السوق المنافس,3383 وحدة/كيلو,0.22,مختلط,"المتاجر، الأفراد","تطبيقات التوصيل, وسائل التواصل الاجتماعي",,2,"فيسبوك وواتساب, لوحات إعلانية",9,"آلات تصنيع، أدوات تغليف",صنعاء,22,1,0.5121,0.5688,0.7368,231,16.4701,0.7795,1,,0.5,1,22
محل بيع وتأجير الدراجات الهوائية,تجاري,5373540,0.71,10255329,606774,متنوع حسب الصنف,حسب الطلب اليومي,0.29,أفراد (B2C),"الشباب، هواة الرياضة","البيع المباشر, وسائل التواصل الاجتماعي",3,2,"التسويق الشفهي, لوحات إعلانية",3,"أرفف، نظام محاسبي، ثلاجات",حضرموت,21.7,1,0.152,0.1378,0.614,61,15.497,0.4285,0.25,1,0.5,1,21.7
خدمات استشارات الطاقة المتجددة,خدمي,2591540,0.67,5904699,329679,حسب نوع الخدمة,حسب الطلب اليومي,0.33,أفراد (B2C),"الشركات، المنازل، المؤسسات","البيع المباشر, تجار التجزئة",2,2,"التسويق الشفهي, لوحات إعلانية",1,"أدوات مكتبية، أجهزة كمبيوتر",إب,16,1,0.0388,0.0629,0.5439,141,14.7678,0.1655,0,0,0.5,1,16
مشروع زراعة وإنتاج السمسم,زراعي,10264510,0.71,21227149,1255940,سعر السوق المنافس,2433 وحدة/كيلو,0.29,تجار جملة ومصانع (B2B),"مصانع الزيوت، محلات العطارة","وسائل التواصل الاجتماعي, تطبيقات التوصيل",,1,"لوحات إعلانية, فيسبوك وواتساب",4,معدات متخصصة,إب,20,1,0.3511,0.3268,0.614,208,16.1442,0.6619,0.375,,0,1,20
مصنع صغير لإنتاج الأسمدة العضوية,إنتاجي,26083390,0.76,35036591,2218984,سعر السوق المنافس,2135 وحدة/كيلو,0.24,مختلط,"المزارعين، المشاتل","تجار التجزئة, تطبيقات التوصيل",,3,"عروض ترويجية, لوحات إعلانية",5,"آلات تصنيع، أدوات تغليف",عدن,37.2,1,0.9949,0.5647,0.7018,224,17.0768,0.9983,0.5,,1,1,37.2
محل بيع وتوزيع المواد الغذائية بالجملة,تجاري,8764905,0.74,21743256,1340834,متنوع حسب الصنف,حسب الطلب اليومي,0.26,أفراد (B2C),"المتاجر الصغيرة، المطاعم","تطبيقات التوصيل, وسائل التواصل الاجتماعي",,1,"لوحات إعلانية, عروض ترويجية",3,"أرفف، نظام محاسبي، ثلاجات",تعز,18.6,1,0.2901,0.3357,0.6667,32,15.9863,0.605,0.25,,0,1,18.6
خدمات صيانة وإصلاح الآلات الزراعية,خدمي,5503545,0.69,12300224,707263,حسب نوع الخدمة,حسب الطلب اليومي,0.31,أفراد (B2C),"المزارعين، الشركات الزراعية","البيع المباشر, تطبيقات التوصيل",2,1,"عروض ترويجية, لوحات إعلانية",1,"أدوات مكتبية، أجهزة كمبيوتر",إب,17.3,1,0.1573,0.1731,0.5789,250,15.5209,0.4371,0,0,0,1,17.3
مزرعة لتربية طيور السمان,زراعي,13200590,0.77,29399707,1886481,سعر السوق المنافس,2874 وحدة/كيلو,0.23,تجار جملة ومصانع (B2B),"المطاعم، الأسواق","تطبيقات التوصيل, وسائل التواصل الاجتماعي",2,1,"فيسبوك وواتساب, التسويق الشفهي",5,معدات متخصصة,صنعاء,23.4,1,0.4706,0.4676,0.7193,115,16.3958,0.7527,0.5,0,0,1,23.4
"ورشة تصنيع الأدوات المدرسية الخشبية (مقاعد، طاولات)",إنتاجي,26208580,0.77,46843020,3005760,سعر السوق المنافس,1789 وحدة/كيلو,0.23,مختلط,"المدارس، المعاهد","تطبيقات التوصيل, وسائل التواصل الاجتماعي",2,1,"عروض ترويجية, التسويق الشفهي",3,"آلات تصنيع، أدوات تغليف",صنعاء,29.2,1,1,0.768,0.7193,220,17.0816,1,0.25,0,0,1,29.2
محل بيع وتأجير أجهزة الكمبيوتر المحمول,تجاري,8584610,0.69,11076494,636898,متنوع حسب الصنف,حسب الطلب اليومي,0.31,أفراد (B2C),"الطلاب، الشركات، الأفراد","تطبيقات التوصيل, تجار التجزئة",,3,"عروض ترويجية, التسويق الشفهي",3,"أرفف، نظام محاسبي، ثلاجات",حضرموت,30,1,0.2827,0.152,0.5789,60,15.9655,0.5975,0.25,,1,1,30
خدمات التمريض المنزلي,خدمي,6272875,0.62,10773331,556622,حسب نوع الخدمة,حسب الطلب اليومي,0.38,أفراد (B2C),"كبار السن، المرضى، الأسر","تطبيقات التوصيل, تجار التجزئة",2,3,"التسويق الشفهي, لوحات إعلانية",3,"أدوات مكتبية، أجهزة كمبيوتر",صنعاء,18.4,1,0.1886,0.1468,0.4561,190,15.6517,0.4843,0.25,0,1,1,18.4
مشروع زراعة وإنتاج الورد الطائفي,زراعي,8801285,0.73,17127105,1041899,سعر السوق المنافس,4371 وحدة/كيلو,0.27,تجار جملة ومصانع (B2B),"مصانع العطور، محلات الزهور","تطبيقات التوصيل, تجار التجزئة",,1,"عروض ترويجية, التسويق الشفهي",4,معدات متخصصة,تعز,22.8,1,0.2915,0.2562,0.6491,211,15.9904,0.6065,0.375,,0,1,22.8
مصنع صغير لإنتاج الشيبس والوجبات الخفيفة,إنتاجي,15082720,0.7,27317652,1593530,سعر السوق المنافس,4707 وحدة/كيلو,0.3,مختلط,"محلات البقالة، المدارس، المقاهي","تجار التجزئة, البيع المباشر",2,2,"لوحات إعلانية, عروض ترويجية",7,"آلات تصنيع، أدوات تغليف",تعز,22.1,1,0.5472,0.4317,0.5965,226,16.5291,0.8007,0.75,0,0.5,1,22.1
محل بيع وتوزيع العصائر الطازجة,تجاري,9167225,0.73,20592436,1252706,متنوع حسب الصنف,حسب الطلب اليومي,0.27,أفراد (B2C),"الأفراد، المكاتب، المناسبات","تجار التجزئة, وسائل التواصل الاجتماعي",,1,"لوحات إعلانية, عروض ترويجية",1,"أرفف، نظام محاسبي، ثلاجات",تعز,19.8,1,0.3064,0.3159,0.6491,35,16.0311,0.6212,0,,0,1,19.8
خدمات التوثيق والتصوير الجوي (بالدرون),خدمي,7180235,0.62,12462979,643921,حسب نوع الخدمة,حسب الطلب اليومي,0.38,أفراد (B2C),"شركات المقاولات، الإعلام، الأفراد","تطبيقات التوصيل, وسائل التواصل الاجتماعي",2,2,"عروض ترويجية, التسويق الشفهي",2,"أدوات مكتبية، أجهزة كمبيوتر",صنعاء,18.2,1,0.2256,0.1759,0.4561,182,15.7868,0.5331,0.125,0,0.5,1,18.2
مزرعة لتربية النحل وإنتاج شمع العسل,زراعي,9373200,0.71,15208325,899826,سعر السوق المنافس,1539 وحدة/كيلو,0.29,تجار جملة ومصانع (B2B),"محلات العطارة، مصانع الأدوية","وسائل التواصل الاجتماعي, تطبيقات التوصيل",3,3,"التسويق الشفهي, لوحات إعلانية",5,معدات متخصصة,تعز,25.5,1,0.3148,0.2231,0.614,109,16.0534,0.6292,0.5,1,1,1,25.5
ورشة تصنيع الأبواب والشبابيك UPVC,إنتاجي,25211875,0.7,40957043,2389161,سعر السوق المنافس,3309 وحدة/كيلو,0.3,مختلط,"شركات المقاولات، الأفراد","تطبيقات التوصيل, البيع المباشر",,3,"التسويق الشفهي, عروض ترويجية",5,"آلات تصنيع، أدوات تغليف",صنعاء,24.6,1,0.9594,0.6666,0.5965,243,17.0428,0.986,0.5,,1,1,24.6
محل بيع وتوزيع مستلزمات المطاعم والفنادق,تجاري,2792165,0.68,5086007,288207,متنوع حسب الصنف,حسب الطلب اليومي,0.32,أفراد (B2C),"المطاعم، الفنادق، قاعات الأفراح","تجار التجزئة, وسائل التواصل الاجتماعي",2,2,"التسويق الشفهي, عروض ترويجية",1,"أرفف، نظام محاسبي، ثلاجات",عدن,20.6,1,0.047,0.0488,0.5614,30,14.8423,0.1924,0,0,0.5,1,20.6
